joint_index,joint_id,joint_name,parent_index,parent_name,local_pos_x,local_pos_y,local_pos_z,local_rot_x,local_rot_y,local_rot_z,local_rot_w,tracked
0,0,PELVIS,-1,,355.006531,349.344482,871.792358,0.564167,-0.556563,0.482890,-0.372519,1
1,1,SPINE_NAVEL,0,PELVIS,-13.634491,-164.135284,24.025146,0.000000,-0.000000,-0.037869,-0.999283,1
2,2,SPINE_CHEST,1,SPINE_NAVEL,-14.095734,-132.094482,7.634827,0.043137,-0.005487,0.062562,0.997093,1
3,3,NECK,2,SPINE_CHEST,-24.539856,-200.651382,-12.755249,-0.000000,0.000000,0.080193,0.996779,1
4,4,CLAVICLE_LEFT,2,SPINE_CHEST,10.426514,-171.275696,-15.104126,-0.005475,-0.771000,0.076722,0.632173,1
5,5,SHOULDER_LEFT,4,CLAVICLE_LEFT,128.154114,13.584320,-34.334961,0.179559,-0.469316,0.298287,0.811496,1
6,6,ELBOW_LEFT,5,SHOULDER_LEFT,61.590027,244.091370,-55.623352,0.000000,-0.000000,0.340540,0.940230,1
7,7,WRIST_LEFT,6,ELBOW_LEFT,-75.897980,169.325806,-111.314148,-0.534073,0.080633,0.622494,0.566362,1
8,8,HAND_LEFT,7,WRIST_LEFT,-13.577301,-43.182739,-77.598389,0.000000,-0.000000,0.089601,0.995978,1
9,9,HANDTIP_LEFT,8,HAND_LEFT,-4.395721,-50.554291,-87.106140,0.000000,0.000000,0.000000,1.000000,1
10,10,THUMB_LEFT,7,WRIST_LEFT,-38.485626,-92.191849,-82.435425,-0.597800,-0.029388,-0.166681,-0.783575,1
11,11,CLAVICLE_RIGHT,2,SPINE_CHEST,-50.976044,-163.891846,-4.283447,0.766528,-0.038364,0.632496,-0.104460,1
12,12,SHOULDER_RIGHT,11,CLAVICLE_RIGHT,-116.389938,38.802292,-1.135254,-0.251478,-0.061424,0.318650,0.911838,1
13,13,ELBOW_RIGHT,12,SHOULDER_RIGHT,-191.899368,75.303169,-162.821289,0.000000,-0.000000,0.168056,0.985778,1
14,14,WRIST_RIGHT,13,ELBOW_RIGHT,-121.746422,19.242712,-181.171387,-0.655826,0.325984,0.273565,0.623529,1
15,15,HAND_RIGHT,14,WRIST_RIGHT,-76.785461,-54.273262,-22.690796,0.000000,0.000000,-0.423647,0.905827,1
16,16,HANDTIP_RIGHT,15,HAND_RIGHT,-57.930252,11.620884,-79.546570,0.000000,0.000000,-0.000000,1.000000,1
17,17,THUMB_RIGHT,14,WRIST_RIGHT,-88.175797,-53.162239,-66.172668,0.633824,0.081324,-0.123432,0.759222,1
18,18,HIP_LEFT,0,PELVIS,81.624786,-9.969299,-21.785400,0.062075,0.038108,-0.350572,0.933699,1
19,19,KNEE_LEFT,18,HIP_LEFT,0.093842,247.162170,-280.013916,0.000031,0.000058,-0.500858,-0.865530,1
20,20,ANKLE_LEFT,19,KNEE_LEFT,53.023682,346.284973,68.440735,0.035897,-0.003615,-0.008609,0.999312,1
21,21,FOOT_LEFT,20,ANKLE_LEFT,12.622162,127.828796,-118.523804,0.004013,-0.003986,0.704781,0.709402,1
22,22,HIP_RIGHT,0,PELVIS,-73.604645,8.989746,19.644958,0.042921,-0.090117,-0.926143,-0.363724,1
23,23,KNEE_RIGHT,22,HIP_RIGHT,-95.125900,250.424683,-259.683167,-0.000062,-0.000100,0.505536,0.862805,1
24,24,ANKLE_RIGHT,23,KNEE_RIGHT,75.159134,348.444336,55.147949,-0.069266,0.007285,-0.008574,0.997535,1
25,25,FOOT_RIGHT,24,ANKLE_RIGHT,-19.088745,118.390137,-107.133789,0.004166,-0.004132,0.704215,0.709963,1
26,26,HEAD,3,NECK,-11.150940,-73.440399,-17.032593,0.125751,0.081269,0.217105,-0.964597,1
27,27,NOSE,26,HEAD,-53.416641,-74.003769,-118.931091,0.000000,0.000000,0.000000,1.000000,1
28,28,EYE_LEFT,27,NOSE,39.111618,-22.393677,26.375366,-0.000000,0.000000,-0.707107,-0.707107,1
29,29,EAR_LEFT,28,EYE_LEFT,89.237335,38.997040,67.113159,0.000000,0.000000,0.707107,0.707107,1
30,30,EYE_RIGHT,27,NOSE,-6.843246,-21.438293,42.701538,-0.000000,0.000000,-0.707107,-0.707107,1
31,31,EAR_RIGHT,30,EYE_RIGHT,-4.443726,33.609497,117.440735,0.000000,-0.000000,0.707107,-0.707107,1
